LON,LAT,NUMBER,STREET,POSTCODE,HASH
-116.3647244,43.6623327,6324,N STAFFORD PL ,83713,deb440224d509a97
-116.3642031,43.6626954,2425,E CHINDEN BLVD ,83713,78122c3f482bf5d0
-116.3641911,43.6495791,4945,N ICE SPRINGS WAY,83713,caaaa36bd1ffead0
-116.3641137,43.6617213,6257,N HEATHROW CT ,83713,77238cb37ca6f179
-116.3640954,43.653687,5395,N CASTLE CREEK PL,83713,278a60854eb46871
-116.3631699,43.6507992,5087,N CAMAS CREEK AVE,83713,5d8e50eabf317344
-116.3630417,43.6608747,6169,N QUEENSBURY PL ,83713,a7af3a2ce080e8d8
-116.3628147,43.6521159,14470,W KETTLE CREEK DR,83713,f8082323191aa4f7
-116.3625527,43.6541429,14452,W SEDONA DR ,83713,47ed53e0f8b7daa8
-116.3619762,43.6584789,14408,W KENSINGTON CT ,83713,d02600af3745a4c0
-116.3609728,43.6577063,14335,W BARCLAY ST ,83713,962a52ebb5d9ae65
-116.3609545,43.6587901,5924,N ROSEPOINT PL ,83713,dceb14ee4d77a232
-116.3604156,43.6544488,14284,W TALON CREEK DR,83713,24311dfe88e9048d
-116.3601599,43.6587144,5933,N ROTHMANS AVE ,83713,55500936ab3eec62
-116.3600462,43.6624651,14244,W PAVILION ST ,83713,9536b1145e741175
-116.3599344,43.6623381,6328,N SPARKFORD WAY ,83713,85759d8b6f2b2270
-116.35986,43.6603047,6098,N BENNINGTON WAY ,83713,9143c6d68935da44
-116.3592449,43.6565501,5698,N MCCARTHY AVE ,83713,8b67a3eb8aabb209
-116.3591429,43.64543,4461,N ATTLEBORO PL ,83713,a26c28372e6ecfc8
-116.3591229,43.6477396,4725,N CHELMSFORD AVE ,83713,571c7ef481aeb3c2
-116.3591004,43.6533431,5357,N EBBETTS AVE ,83713,a8c56ebf629a2ba7
-116.3588655,43.6585427,5917,N COSWORTH PL ,83713,601b36781b25dac1
-116.3584886,43.6594795,14126,W GUINNESS CT ,83713,9ff52d74c3805b15
-116.3584516,43.6623051,6324,N BUCKLEY PL ,83713,4c833b21552a6a46
-116.3582321,43.6456674,14104,W HARTFORD DR ,83713,303834b04f9d7be2
-116.3581779,43.6530934,5311,N JOE ROBBIE AVE,83713,ada4dd6c12e840ed
-116.3579606,43.6606886,14066,W BATTENBERG CT ,83713,04737135b9b5a0f8
-116.3578766,43.657108,14070,W CHADFORD DR ,83713,f1ea019927c71eae
-116.3578722,43.6472498,4688,N SYRACUSE PL ,83713,5a110930a7ee8b61
-116.3577537,43.6575066,5804,N GRAHAM AVE ,83713,59ccc6584c47a66d
-116.3577388,43.6615544,14055,W STOCKWELL DR ,83713,fcfb1ae7f08aeb9e
-116.3573591,43.6623347,6326,N TALCREST PL ,83713,91c53e94831b886d
-116.3572643,43.6593721,14038,W HALIFAX CT ,83713,900e84b9572da7da
-116.3572197,43.647424,4699,N CHAPALA WAY ,83713,54546a3eca13ec29
-116.3572165,43.6538099,5375,N FORBES AVE ,83713,e2284c9e741bb085
-116.3568469,43.661064,6190,N TAPESTRY WAY ,83713,834ff4dc56e4647b
-116.3568021,43.6437107,13990,W MILFORD DR ,83713,d8802c7702268d82
-116.3563659,43.6531097,13995,W COMISKY CT ,83713,d2d107bb38bbc825
-116.3560591,43.6562766,13924,W ELMSPRINGS CT ,83713,036f554bcbe539d9
-116.3560059,43.6459108,13928,W ROCHESTER DR ,83713,6b97dd73bd302c6c
-116.3559103,43.6396323,13984,W JASMINE LN ,83713,5c3c2b4b7d64b3a6
-116.355907,43.6608775,13924,W DAIMLER CT ,83713,97c0a9c15275f5d0
-116.3557874,43.6584282,13912,W CORTINA CT ,83713,ec1d6194dc45a351
-116.3557683,43.6419986,13960,W WAINWRIGHT DR ,83713,8ede76ea5339e7d3
-116.3553965,43.6472953,13878,W DOMINION CT ,83713,b2671fb3cb540320
-116.3553155,43.6584108,5898,N PARCHMENT AVE ,83713,f1481f29d64b11dc
-116.3551774,43.6480446,13868,W BUNKERHILL CT ,83713,dd41f756c2d2e3fb
-116.355161,43.6615084,13864,W CHATSWORTH CT ,83713,99090f0101c115b5
-116.3550736,43.6456073,4494,N NEWBURGH AVE ,83713,34357a241e8e9ecb
-116.3549407,43.6537231,5376,N CANDLESTICK AVE ,83713,c8cf9cd52cc8049c
